client_id,raison_sociale,client_email,client_telephone,client_adresse,site_id,site_nom,site_adresse,site_ville,site_code_postal,type_site,client_created_at,nb_interventions_total,derniere_intervention,source
15,Leconte,jeannineleclerc@fischer.com,05 55 79 92 09,"rue Pineau, 41330 BouvierVille",153,Site Fontainedan,rue de Samson,Sainte Agnès,92502,hopital,2026-02-14,15,2026-06-22,simule
16,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",160,Site Saint Rémy,"204, avenue Chevalier",Saint Antoine,51666,commerce,2026-02-09,4,2026-06-22,simule
16,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",161,Site Lesagedan,"83, chemin Leroy",Leroux,65984,entrepot,2024-08-05,4,2026-06-22,simule
16,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",162,Site Blin,"61, boulevard Frédérique Joly",Sainte ÉtienneBourg,45374,ecole,2025-09-20,8,2026-06-22,simule
16,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",163,Site Sainte Renéboeuf,chemin Arthur Pruvost,Ollivier-la-Forêt,81182,ecole,2025-10-22,13,2026-06-22,simule
17,Cordier et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",170,Site Carlier-sur-Roussel,boulevard Hebert,TorresVille,52907,entrepot,2024-09-22,11,2026-06-22,simule
17,Cordier et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",171,Site Buisson-sur-Gilbert,"66, chemin de Deschamps",SeguinVille,90774,ecole,2024-08-25,4,2026-06-22,simule
17,Cordier et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",172,Site Pelletier,"1, rue de Ramos",Sainte Dominique,07329,bureau,2026-04-01,15,2026-06-22,simule
17,Cordier et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",173,Site Klein-sur-Roger,"61, rue Roche",Saint Julien,20895,bureau,2025-03-22,1,2026-06-22,simule
18,Hamon SARL,cordieretienne@blanchet.fr,06 48 95 83 68,"avenue Joséphine Colas, 70356 Martineauboeuf",180,Site Langlois-sur-Faure,"383, chemin Charles Lopez",Martin,20273,hopital,2024-10-24,5,2026-06-22,simule
18,Hamon SARL,cordieretienne@blanchet.fr,06 48 95 83 68,"avenue Joséphine Colas, 70356 Martineauboeuf",181,Site Olivier-sur-Giraud,"219, avenue Alexandria Bourgeois",Sainte AstridBourg,02278,hopital,2026-01-10,2,2026-06-22,simule
19,Gérard,diallolucie@allain.fr,0562087626,"25, rue Costa, 93761 Lucas",190,Site Vallée-sur-Giraud,rue Marthe Daniel,Hardynec,93602,ecole,2025-03-19,14,2026-06-22,simule
19,Gérard,diallolucie@allain.fr,0562087626,"25, rue Costa, 93761 Lucas",191,Site Goncalvesnec,"334, avenue Noémi Gilles",Sainte Sylvie,93957,ecole,2026-03-03,8,2026-06-22,simule
19,Gérard,diallolucie@allain.fr,0562087626,"25, rue Costa, 93761 Lucas",192,Site Couturier,"844, avenue de Menard",Ferrand,53577,bureau,2024-11-06,0,,simule
19,Gérard,diallolucie@allain.fr,0562087626,"25, rue Costa, 93761 Lucas",193,Site Sainte Léon,"96, avenue Pottier",Barre,18211,commerce,2025-11-22,8,2026-06-22,simule
20,Barre SA,aurelievalette@grondin.fr,+33 (0)3 76 86 37 99,"8, boulevard de Marin, 05428 LopezVille",200,Site Roux-sur-Olivier,avenue Julie Blanc,Daniel,42275,hopital,2025-10-10,9,2026-06-22,simule
